t, X(t)
5.975001, 5.720995
5.981291, 5.780775
5.987580, 5.840556
5.993869, 5.900332
6.000159, 5.960094
6.006448, 6.019834
6.012738, 6.079544
6.019027, 6.139215
6.025317, 6.198840
6.031606, 6.258409
6.037896, 6.317916
6.044185, 6.377350
6.050475, 6.436705
6.056764, 6.495972
6.063054, 6.555141
6.069343, 6.614206
6.075633, 6.673157
6.081922, 6.731987
6.088212, 6.790686
6.094501, 6.849247
6.100791, 6.907661
6.107080, 6.965919
6.113369, 7.024014
6.119659, 7.081936
6.125948, 7.139677
6.132238, 7.197230
6.138527, 7.254585
6.144817, 7.311734
6.151106, 7.368668
6.157396, 7.425380
6.163685, 7.481861
6.169975, 7.538102
6.176264, 7.594095
6.182554, 7.649832
6.188843, 7.705304
6.195133, 7.760503
6.201422, 7.815421
6.207712, 7.870049
6.214001, 7.924379
6.220291, 7.978403
6.226580, 8.032113
6.232870, 8.085500
6.239159, 8.138556
6.245448, 8.191273
6.251738, 8.243643
6.258027, 8.295657
6.264317, 8.347308
6.270606, 8.398588
6.276896, 8.449488
6.283185, 8.500000
